customer_id,name,billing_country,credit_limit_cents,risk_score,status
1,Customer 001,DE,3885357,76.5,active
2,Customer 002,SG,3295513,78.6,on_hold
3,Customer 003,GB,1965689,43.7,on_hold
4,Customer 004,SG,568148,57.9,active
5,Customer 005,SG,2325665,45.8,active
6,Customer 006,IN,3245683,83.2,active
7,Customer 007,GB,3897723,71.2,active
8,Customer 008,GB,3503758,56.5,active
9,Customer 009,GB,4556518,43.2,active
10,Customer 010,SG,3169995,55.5,on_hold
11,Customer 011,DE,4950812,56.3,active
12,Customer 012,GB,2370928,76.5,active
13,Customer 013,AE,4655299,71.9,active
14,Customer 014,SG,3057489,84.4,active
15,Customer 015,IN,2273415,63.6,closed
16,Customer 016,DE,2805413,46.0,closed
17,Customer 017,AE,4410197,75.7,active
18,Customer 018,AE,771836,78.0,active
19,Customer 019,IN,4084702,68.1,active
20,Customer 020,DE,2595505,78.5,active
21,Customer 021,SG,2799435,64.7,active
22,Customer 022,US,696769,66.1,active
23,Customer 023,DE,3158505,61.4,active
24,Customer 024,IN,1771741,41.3,active
25,Customer 025,AE,4269315,45.4,active
26,Customer 026,SG,1546797,41.6,on_hold
27,Customer 027,DE,3547262,71.8,active
28,Customer 028,US,2084398,55.7,active
29,Customer 029,US,3085031,65.4,active
30,Customer 030,GB,1064685,85.4,closed
31,Customer 031,GB,3379190,52.5,active
32,Customer 032,IN,1811736,60.5,active
33,Customer 033,DE,1507293,77.8,active
34,Customer 034,DE,3866612,51.4,active
35,Customer 035,AE,523247,43.8,active
36,Customer 036,AE,3204238,54.5,active
37,Customer 037,AE,3130708,48.1,active
38,Customer 038,GB,3994679,86.5,active
39,Customer 039,DE,2267640,80.4,active
40,Customer 040,DE,3113740,71.7,active
41,Customer 041,US,1785160,83.6,on_hold
42,Customer 042,GB,1925472,80.2,active
43,Customer 043,SG,548984,49.3,active
44,Customer 044,GB,2900070,84.6,active
45,Customer 045,SG,3765879,67.0,active
46,Customer 046,US,2004384,80.4,active
47,Customer 047,IN,2730919,84.8,active
48,Customer 048,DE,2252126,55.9,active
49,Customer 049,US,4830634,45.5,active
50,Customer 050,DE,2237095,51.4,active
