dispute_id,invoice_id,customer_id,opened_date,amount_cents,reason,status,resolution_note,resolved_date
1,582,47,2025-12-02,150404,pricing error,in_review,Synthetic,
2,592,48,2025-12-12,451028,PO mismatch,resolved,Synthetic,2026-01-07
3,551,44,2025-11-07,1073396,damaged goods,open,Synthetic,
4,214,17,2026-01-12,3250207,PO mismatch,in_review,Synthetic,
5,486,40,2025-10-24,572244,quantity short,resolved,Synthetic,2025-11-21
6,236,19,2025-11-04,994222,PO mismatch,in_review,Synthetic,
7,454,38,2025-11-18,669496,pricing error,in_review,Synthetic,
8,78,6,2025-08-11,90763,pricing error,resolved,Synthetic,2025-08-21
9,530,43,2025-11-08,1644840,pricing error,open,Synthetic,
10,146,11,2025-09-05,2049610,quantity short,open,Synthetic,
11,468,38,2025-10-15,673512,PO mismatch,in_review,Synthetic,
12,32,3,2025-10-29,1103838,damaged goods,in_review,Synthetic,
13,56,5,2025-10-15,1441131,quantity short,in_review,Synthetic,
14,91,7,2026-01-18,155208,pricing error,resolved,Synthetic,2026-02-07
15,457,38,2025-09-15,1040422,quantity short,open,Synthetic,
16,77,6,2025-12-08,159749,damaged goods,in_review,Synthetic,
17,3,1,2025-10-15,311835,PO mismatch,resolved,Synthetic,2025-11-03
18,288,23,2025-09-01,966272,damaged goods,open,Synthetic,
19,189,16,2025-12-09,396709,quantity short,in_review,Synthetic,
20,306,24,2025-11-25,762177,quantity short,in_review,Synthetic,
21,132,10,2026-01-06,291272,damaged goods,open,Synthetic,
22,149,11,2025-10-26,765580,pricing error,open,Synthetic,
23,50,4,2025-08-24,1425403,damaged goods,in_review,Synthetic,
24,625,50,2025-11-08,1260616,PO mismatch,open,Synthetic,
25,540,44,2025-10-13,594217,quantity short,resolved,Synthetic,2025-11-11
26,111,8,2025-10-06,431517,quantity short,in_review,Synthetic,
27,159,12,2025-10-10,502361,quantity short,rejected,Synthetic,2025-10-25
28,491,40,2025-12-31,2225433,quantity short,in_review,Synthetic,
29,624,50,2026-01-14,1027615,quantity short,resolved,Synthetic,2026-01-21
30,258,20,2026-01-26,1676716,PO mismatch,in_review,Synthetic,
31,164,13,2025-10-17,830496,damaged goods,resolved,Synthetic,2025-11-12
32,622,49,2025-10-12,240777,damaged goods,open,Synthetic,
33,313,25,2025-11-30,2104257,pricing error,in_review,Synthetic,
34,287,23,2026-01-27,678942,damaged goods,resolved,Synthetic,2026-02-11
35,133,11,2025-12-10,1577315,quantity short,in_review,Synthetic,
36,329,26,2025-09-25,700659,PO mismatch,open,Synthetic,
37,312,25,2025-11-15,268395,quantity short,in_review,Synthetic,
38,616,49,2025-12-15,259097,damaged goods,in_review,Synthetic,
39,275,22,2026-01-07,49532,quantity short,open,Synthetic,
40,584,47,2025-11-25,739994,PO mismatch,open,Synthetic,
41,355,28,2025-11-26,3767877,damaged goods,open,Synthetic,
42,40,4,2025-10-03,1228386,quantity short,resolved,Synthetic,2025-10-15
43,87,7,2025-09-07,920196,damaged goods,in_review,Synthetic,
44,336,26,2025-12-28,538725,damaged goods,in_review,Synthetic,
45,321,26,2025-12-11,603317,PO mismatch,open,Synthetic,
46,210,17,2025-11-17,881756,quantity short,resolved,Synthetic,2025-12-06
47,262,21,2025-08-22,531439,PO mismatch,in_review,Synthetic,
48,560,45,2025-09-07,927213,damaged goods,in_review,Synthetic,
49,79,6,2025-11-02,2690971,PO mismatch,resolved,Synthetic,2025-11-15
50,473,39,2025-12-07,161669,pricing error,in_review,Synthetic,
51,177,14,2026-01-10,3393068,pricing error,resolved,Synthetic,2026-01-26
52,311,24,2025-09-10,2035197,PO mismatch,open,Synthetic,
53,11,2,2025-12-07,1787337,pricing error,in_review,Synthetic,
54,261,21,2025-08-16,183299,pricing error,open,Synthetic,
55,465,38,2025-11-02,302510,PO mismatch,open,Synthetic,
56,175,14,2025-09-14,3000275,quantity short,open,Synthetic,
57,136,11,2025-10-24,1050798,damaged goods,in_review,Synthetic,
58,451,37,2025-10-24,689025,PO mismatch,open,Synthetic,
59,212,17,2025-09-18,2269757,PO mismatch,open,Synthetic,
60,31,3,2025-08-13,498857,pricing error,open,Synthetic,
