invoice_id,customer_id,invoice_number,invoice_date,due_date,currency,amount_cents,balance_cents,status
1,1,INV-001-00001,2025-08-08,2025-09-07,USD,2136000,210935,partially_paid
2,1,INV-001-00002,2025-10-02,2025-11-01,USD,4925400,1869736,disputed
3,1,INV-001-00003,2025-07-28,2025-08-27,USD,1383500,979091,open
4,1,INV-001-00004,2025-11-02,2025-12-02,USD,1715100,1103848,disputed
5,1,INV-001-00005,2025-07-31,2025-08-30,USD,3471100,2347621,disputed
6,1,INV-001-00006,2025-10-27,2025-11-26,USD,4894000,3431338,disputed
7,1,INV-001-00007,2025-08-13,2025-09-12,USD,2673600,1569107,partially_paid
8,1,INV-001-00008,2025-09-15,2025-10-15,USD,2288000,446542,open
9,2,INV-002-00009,2025-10-14,2025-11-13,USD,4933300,2137943,partially_paid
10,2,INV-002-00010,2025-10-24,2025-11-23,USD,4179000,3799272,open
11,2,INV-002-00011,2025-10-03,2025-11-02,USD,4244700,3263073,disputed
12,2,INV-002-00012,2025-09-19,2025-10-19,USD,1249200,482873,partially_paid
13,2,INV-002-00013,2025-08-18,2025-09-17,USD,2509300,1879686,disputed
14,2,INV-002-00014,2025-09-16,2025-10-16,USD,1853800,1288934,partially_paid
15,2,INV-002-00015,2025-10-13,2025-11-12,USD,780100,486809,partially_paid
16,2,INV-002-00016,2025-09-25,2025-10-25,USD,4709100,3268004,disputed
17,2,INV-002-00017,2025-08-26,2025-09-25,USD,1540300,1503531,open
18,2,INV-002-00018,2025-09-20,2025-10-20,USD,2467700,1843841,open
19,2,INV-002-00019,2025-09-22,2025-10-22,USD,2923600,1121609,open
20,2,INV-002-00020,2025-08-04,2025-09-03,USD,3409300,1285592,partially_paid
21,2,INV-002-00021,2025-10-22,2025-11-21,USD,2825800,2436474,open
22,2,INV-002-00022,2025-07-27,2025-08-26,USD,794900,534942,open
23,2,INV-002-00023,2025-10-18,2025-11-17,USD,4817500,1907375,disputed
24,2,INV-002-00024,2025-08-10,2025-09-09,USD,3137500,1364497,open
25,2,INV-002-00025,2025-08-12,2025-09-11,USD,925300,622124,open
26,2,INV-002-00026,2025-10-13,2025-11-12,USD,2821100,1316367,partially_paid
27,3,INV-003-00027,2025-09-30,2025-10-30,USD,4215800,2879035,partially_paid
28,3,INV-003-00028,2025-10-17,2025-11-16,USD,3719500,2022162,partially_paid
29,3,INV-003-00029,2025-10-12,2025-11-11,USD,591300,229630,open
30,3,INV-003-00030,2025-07-30,2025-08-29,USD,3685000,2239971,open
31,3,INV-003-00031,2025-07-29,2025-08-28,USD,4357600,879720,open
32,3,INV-003-00032,2025-08-24,2025-09-23,USD,2554800,1240899,disputed
33,4,INV-004-00033,2025-10-16,2025-11-15,USD,3984100,3508195,open
34,4,INV-004-00034,2025-09-27,2025-10-27,USD,764400,373584,open
35,4,INV-004-00035,2025-08-24,2025-09-23,USD,269800,235598,partially_paid
36,4,INV-004-00036,2025-09-30,2025-10-30,USD,748600,366366,open
37,4,INV-004-00037,2025-09-29,2025-10-29,USD,316700,257358,partially_paid
38,4,INV-004-00038,2025-11-16,2025-12-16,USD,2571400,1864989,partially_paid
39,4,INV-004-00039,2025-08-05,2025-09-04,USD,905600,678478,partially_paid
40,4,INV-004-00040,2025-09-16,2025-10-16,USD,1992400,1603863,disputed
41,4,INV-004-00041,2025-11-04,2025-12-04,USD,4226200,3770338,partially_paid
42,4,INV-004-00042,2025-08-22,2025-09-21,USD,2728900,1945576,open
43,4,INV-004-00043,2025-09-21,2025-10-21,USD,2747000,1448216,open
44,4,INV-004-00044,2025-07-31,2025-08-30,USD,2596000,2018208,disputed
45,4,INV-004-00045,2025-09-21,2025-10-21,USD,3967800,3019712,partially_paid
46,4,INV-004-00046,2025-11-01,2025-12-01,USD,4647200,1528718,partially_paid
47,4,INV-004-00047,2025-07-26,2025-08-25,USD,533000,420880,open
48,4,INV-004-00048,2025-08-23,2025-09-22,USD,3848700,494781,partially_paid
49,4,INV-004-00049,2025-10-23,2025-11-22,USD,2953200,2016569,disputed
50,4,INV-004-00050,2025-07-30,2025-08-29,USD,3154800,1826508,disputed
51,4,INV-004-00051,2025-11-10,2025-12-10,USD,2583300,1881397,open
52,4,INV-004-00052,2025-08-01,2025-08-31,USD,4992600,2066284,disputed
53,5,INV-005-00053,2025-08-30,2025-09-29,USD,1545600,808699,open
54,5,INV-005-00054,2025-09-17,2025-10-17,USD,3974400,3214926,partially_paid
55,5,INV-005-00055,2025-10-02,2025-11-01,USD,3913100,3082001,open
56,5,INV-005-00056,2025-08-12,2025-09-11,USD,4176400,1791917,partially_paid
57,5,INV-005-00057,2025-09-03,2025-10-03,USD,2538600,1756292,disputed
58,5,INV-005-00058,2025-10-22,2025-11-21,USD,685400,331988,partially_paid
59,5,INV-005-00059,2025-11-04,2025-12-04,USD,2196300,1185614,open
60,5,INV-005-00060,2025-10-09,2025-11-08,USD,1401500,395554,open
61,5,INV-005-00061,2025-11-05,2025-12-05,USD,2607100,514966,partially_paid
62,5,INV-005-00062,2025-10-20,2025-11-19,USD,1216100,535908,open
63,5,INV-005-00063,2025-10-30,2025-11-29,USD,1571600,1280920,open
64,5,INV-005-00064,2025-10-25,2025-11-24,USD,2562400,1264530,open
65,5,INV-005-00065,2025-10-04,2025-11-03,USD,643200,237573,open
66,5,INV-005-00066,2025-09-26,2025-10-26,USD,4778100,1689869,open
67,6,INV-006-00067,2025-09-26,2025-10-26,USD,712600,393914,disputed
68,6,INV-006-00068,2025-10-14,2025-11-13,USD,4165000,3341360,partially_paid
69,6,INV-006-00069,2025-11-04,2025-12-04,USD,3192600,1506723,open
70,6,INV-006-00070,2025-11-11,2025-12-11,USD,1025800,914785,partially_paid
71,6,INV-006-00071,2025-10-12,2025-11-11,USD,1772800,1745763,partially_paid
72,6,INV-006-00072,2025-09-23,2025-10-23,USD,1216700,665190,disputed
73,6,INV-006-00073,2025-09-20,2025-10-20,USD,1258900,1165750,open
74,6,INV-006-00074,2025-08-21,2025-09-20,USD,3074600,1976201,partially_paid
75,6,INV-006-00075,2025-09-25,2025-10-25,USD,284600,280928,disputed
76,6,INV-006-00076,2025-09-14,2025-10-14,USD,2838600,1049072,partially_paid
77,6,INV-006-00077,2025-10-14,2025-11-13,USD,382800,190546,open
78,6,INV-006-00078,2025-07-24,2025-08-23,USD,200900,115005,open
79,6,INV-006-00079,2025-09-19,2025-10-19,USD,4533600,3325223,open
80,6,INV-006-00080,2025-10-03,2025-11-02,USD,1998800,925816,open
81,6,INV-006-00081,2025-10-12,2025-11-11,USD,3815900,1778204,open
82,7,INV-007-00082,2025-10-17,2025-11-16,USD,2320400,1551184,open
83,7,INV-007-00083,2025-10-10,2025-11-09,USD,2052000,1847237,partially_paid
84,7,INV-007-00084,2025-08-16,2025-09-15,USD,2352600,245446,partially_paid
85,7,INV-007-00085,2025-09-29,2025-10-29,USD,3845500,1132458,partially_paid
86,7,INV-007-00086,2025-10-10,2025-11-09,USD,2395100,809769,partially_paid
87,7,INV-007-00087,2025-08-12,2025-09-11,USD,3415400,1481051,partially_paid
88,7,INV-007-00088,2025-10-21,2025-11-20,USD,3148600,1042867,partially_paid
89,7,INV-007-00089,2025-11-19,2025-12-19,USD,1847800,1237713,partially_paid
90,7,INV-007-00090,2025-09-08,2025-10-08,USD,4587900,4495318,open
91,7,INV-007-00091,2025-11-08,2025-12-08,USD,978300,266688,disputed
92,7,INV-007-00092,2025-08-13,2025-09-12,USD,1734300,1018291,partially_paid
93,7,INV-007-00093,2025-11-12,2025-12-12,USD,2253000,1413329,open
94,7,INV-007-00094,2025-10-31,2025-11-30,USD,3818500,1200026,open
95,7,INV-007-00095,2025-09-30,2025-10-30,USD,4122400,369475,open
96,7,INV-007-00096,2025-10-18,2025-11-17,USD,3836800,2890205,partially_paid
97,7,INV-007-00097,2025-09-30,2025-10-30,USD,4776500,4171425,partially_paid
98,7,INV-007-00098,2025-09-01,2025-10-01,USD,4816300,416057,open
99,7,INV-007-00099,2025-09-11,2025-10-11,USD,1198400,657583,open
100,8,INV-008-00100,2025-10-23,2025-11-22,USD,2995200,1687930,partially_paid
101,8,INV-008-00101,2025-10-05,2025-11-04,USD,3086500,3031839,open
102,8,INV-008-00102,2025-11-13,2025-12-13,USD,1434200,1075969,open
103,8,INV-008-00103,2025-08-26,2025-09-25,USD,1843800,750296,open
104,8,INV-008-00104,2025-08-25,2025-09-24,USD,3267800,1986967,open
105,8,INV-008-00105,2025-10-18,2025-11-17,USD,997000,315181,open
106,8,INV-008-00106,2025-10-15,2025-11-14,USD,2338900,1109137,open
107,8,INV-008-00107,2025-11-02,2025-12-02,USD,2207900,748337,partially_paid
108,8,INV-008-00108,2025-11-01,2025-12-01,USD,2197800,1209476,partially_paid
109,8,INV-008-00109,2025-10-14,2025-11-13,USD,327900,324886,partially_paid
110,8,INV-008-00110,2025-10-28,2025-11-27,USD,4764800,3762791,open
111,8,INV-008-00111,2025-07-29,2025-08-28,USD,2985600,732985,open
112,8,INV-008-00112,2025-08-06,2025-09-05,USD,4340100,2949123,partially_paid
113,8,INV-008-00113,2025-10-10,2025-11-09,USD,4024300,3239765,partially_paid
114,8,INV-008-00114,2025-07-27,2025-08-26,USD,4280900,2729862,open
115,8,INV-008-00115,2025-08-04,2025-09-03,USD,4992400,4453194,open
116,8,INV-008-00116,2025-08-06,2025-09-05,USD,2125000,1236563,open
117,8,INV-008-00117,2025-10-16,2025-11-15,USD,2771200,1955135,disputed
