payment_id,invoice_id,customer_id,payment_date,amount_cents,method,reference_number,applied
1,1.0,1,2025-09-09,671555,Check,REF-000001,True
2,1.0,1,2025-09-30,284784,ACH,REF-000002,True
3,1.0,1,2025-09-07,968726,Check,REF-000003,True
4,2.0,1,2025-11-15,1408386,Card,REF-000004,True
5,2.0,1,2025-11-13,1647278,ACH,REF-000005,True
6,3.0,1,2025-09-24,164936,Wire,REF-000006,True
7,3.0,1,2025-08-17,239473,Card,REF-000007,True
8,4.0,1,2025-12-22,219072,Card,REF-000008,True
9,4.0,1,2025-12-02,103337,Card,REF-000009,True
10,4.0,1,2025-12-01,288843,ACH,REF-000010,True
11,5.0,1,2025-08-10,1123479,Check,REF-000011,True
12,6.0,1,2025-12-13,684068,Check,REF-000012,True
13,6.0,1,2025-11-30,286021,ACH,REF-000013,True
14,6.0,1,2025-11-18,492573,Check,REF-000014,True
15,7.0,1,2025-10-13,292230,Check,REF-000015,True
16,7.0,1,2025-10-01,342278,Card,REF-000016,True
17,7.0,1,2025-10-03,469985,Card,REF-000017,True
18,8.0,1,2025-11-08,629654,Card,REF-000018,True
19,8.0,1,2025-09-25,515691,Check,REF-000019,True
20,8.0,1,2025-09-28,696113,ACH,REF-000020,True
21,9.0,2,2025-12-14,2795357,Check,REF-000021,True
22,10.0,2,2025-12-07,379728,Card,REF-000022,True
23,11.0,2,2025-11-25,981627,Check,REF-000023,True
24,12.0,2,2025-10-10,766327,Card,REF-000024,True
25,13.0,2,2025-09-16,629614,Wire,REF-000025,True
26,14.0,2,2025-10-28,206857,Wire,REF-000026,True
27,14.0,2,2025-11-04,358009,Check,REF-000027,True
28,15.0,2,2025-10-20,70938,Check,REF-000028,True
29,15.0,2,2025-11-10,222353,Check,REF-000029,True
30,16.0,2,2025-11-03,700034,Wire,REF-000030,True
31,16.0,2,2025-09-30,741062,Card,REF-000031,True
32,17.0,2,2025-10-14,36769,ACH,REF-000032,True
33,18.0,2,2025-10-10,268787,Wire,REF-000033,True
34,18.0,2,2025-10-13,355072,Check,REF-000034,True
35,19.0,2,2025-11-19,801270,Check,REF-000035,True
36,19.0,2,2025-11-07,302515,Check,REF-000036,True
37,19.0,2,2025-10-30,698206,Card,REF-000037,True
38,20.0,2,2025-09-22,751565,Wire,REF-000038,True
39,20.0,2,2025-09-25,598064,Check,REF-000039,True
40,20.0,2,2025-09-16,774079,Check,REF-000040,True
41,21.0,2,2025-11-13,198193,Card,REF-000041,True
42,21.0,2,2025-11-10,191133,Card,REF-000042,True
43,22.0,2,2025-08-09,141779,Wire,REF-000043,True
44,22.0,2,2025-08-16,67728,Check,REF-000044,True
45,22.0,2,2025-09-21,50451,ACH,REF-000045,True
46,23.0,2,2025-11-09,1353287,Check,REF-000046,True
47,23.0,2,2025-11-04,734246,Card,REF-000047,True
48,23.0,2,2025-12-03,822592,ACH,REF-000048,True
49,24.0,2,2025-08-22,502397,Check,REF-000049,True
50,24.0,2,2025-10-16,1270606,Wire,REF-000050,True
51,25.0,2,2025-08-27,303176,Check,REF-000051,True
52,26.0,2,2025-11-28,1504733,ACH,REF-000052,True
53,27.0,3,2025-10-16,1336765,ACH,REF-000053,True
54,28.0,3,2025-12-12,958470,Check,REF-000054,True
55,28.0,3,2025-10-23,738868,Wire,REF-000055,True
56,29.0,3,2025-12-19,162081,Check,REF-000056,True
57,29.0,3,2025-11-14,46602,Wire,REF-000057,True
58,29.0,3,2025-12-06,152987,ACH,REF-000058,True
59,30.0,3,2025-09-03,376500,Wire,REF-000059,True
60,30.0,3,2025-09-27,354135,ACH,REF-000060,True
61,30.0,3,2025-08-05,714394,ACH,REF-000061,True
62,31.0,3,2025-09-29,3477880,Check,REF-000062,True
63,32.0,3,2025-10-31,371351,ACH,REF-000063,True
64,32.0,3,2025-10-26,942550,Card,REF-000064,True
65,33.0,4,2025-12-21,194817,Card,REF-000065,True
66,33.0,4,2025-11-04,147523,ACH,REF-000066,True
