promise_id,customer_id,promised_amount_cents,promised_date,status,source,created_by
1,10,1791100,2025-10-31,kept,other,1
2,10,1879000,2025-10-26,kept,email,1
3,10,1818200,2025-09-30,kept,call,1
4,24,388800,2025-11-18,open,email,1
5,41,169000,2025-11-05,failed,email,1
6,13,1172000,2025-10-02,kept,call,1
7,13,189700,2025-11-14,open,call,1
8,3,1615000,2025-10-30,kept,other,1
9,3,1066300,2025-10-31,failed,other,1
10,50,1223600,2025-11-12,open,call,1
11,50,537000,2025-10-06,kept,call,1
12,50,275600,2025-11-15,kept,call,1
13,34,339700,2025-11-01,failed,meeting,1
14,49,553500,2025-10-16,failed,call,1
15,28,163200,2025-10-19,kept,other,1
16,28,1904700,2025-10-26,failed,email,1
17,19,205400,2025-09-27,kept,meeting,1
18,19,1158300,2025-11-13,open,email,1
19,23,338900,2025-10-18,kept,other,1
20,23,1039900,2025-11-07,failed,other,1
21,23,323900,2025-11-17,kept,call,1
22,45,901500,2025-09-23,failed,other,1
23,45,370800,2025-10-30,open,call,1
24,32,536800,2025-10-08,kept,other,1
25,32,1932100,2025-09-23,kept,other,1
26,13,1512000,2025-09-27,open,other,1
27,33,578400,2025-11-03,failed,email,1
28,33,138600,2025-09-24,cancelled,call,1
29,33,1091000,2025-10-12,open,email,1
30,33,1418000,2025-09-25,failed,meeting,1
31,5,820500,2025-10-11,open,meeting,1
32,5,348400,2025-10-04,cancelled,email,1
33,5,882900,2025-09-23,open,call,1
34,3,1804000,2025-10-15,cancelled,call,1
35,3,1310300,2025-09-26,kept,call,1
36,3,893800,2025-10-17,open,email,1
37,7,456300,2025-11-12,kept,email,1
38,22,902600,2025-10-16,open,other,1
39,22,1965700,2025-10-06,cancelled,email,1
40,45,409400,2025-10-13,open,call,1
41,45,605200,2025-10-29,kept,email,1
42,18,169400,2025-10-15,open,other,1
43,18,1708000,2025-10-29,open,call,1
44,18,836800,2025-09-30,kept,other,1
45,32,1567700,2025-10-09,failed,meeting,1
46,5,740300,2025-09-29,kept,call,1
47,5,718400,2025-09-23,failed,meeting,1
48,5,721200,2025-11-04,open,email,1
49,28,1247100,2025-10-31,kept,other,1
50,28,1153200,2025-11-06,failed,other,1
51,15,571700,2025-11-13,kept,other,1
52,15,653900,2025-10-26,cancelled,call,1
53,5,660700,2025-11-18,open,other,1
54,5,1959400,2025-11-06,kept,call,1
55,38,135800,2025-11-03,failed,call,1
56,34,1377300,2025-10-12,failed,email,1
57,34,685100,2025-09-25,open,meeting,1
58,34,1608200,2025-10-01,failed,other,1
59,26,557600,2025-11-01,failed,call,1
60,26,1991600,2025-11-07,kept,email,1
61,26,1543900,2025-11-17,failed,meeting,1
62,1,1078100,2025-11-17,kept,meeting,1
63,1,1351000,2025-11-12,open,email,1
64,4,1053100,2025-10-06,kept,other,1
65,4,1254200,2025-10-25,kept,email,1
66,33,1871300,2025-09-22,cancelled,other,1
67,33,909500,2025-10-30,kept,email,1
